20100102	44
20100103	110
20100104	4519
20100105	1417
20100106	2000
20100107	3190
20100108	3125
20100109	84
20100110	190
20100111	6007
20100112	5588
20100113	5105
20100114	5270
20100115	5329
20100116	91
20100117	36
20100118	6259
20100119	5918
20100120	5624
20100121	4908
20100122	5294
20100123	129
20100124	63
20100125	7363
20100126	6117
20100127	6063
20100128	6575
20100129	5040
20100130	175
20100131	124
20100201	5818
20100202	7070
20100203	4991
20100204	5657
20100205	5143
20100206	123
20100207	29
20100208	6200
20100209	5728
20100210	5264
20100211	5808
20100212	5188
20100213	104
20100214	62
20100215	5926
20100216	5371
20100217	5462
20100218	4903
20100219	4139
20100220	109
20100221	50
20100222	6107
20100223	5426
20100224	4939
20100225	5388
20100226	5437
20100227	290
20100228	233
20100301	6636
20100302	5943
20100303	4917
20100304	5556
20100305	4703
20100306	119
20100307	66
20100308	6641
20100309	4951
20100310	5087
20100311	6367
20100312	4786
20100313	93
20100314	39
20100315	7179
20100316	5464
20100317	5113
20100318	4959
20100319	4875
20100320	110
20100321	41
20100322	6356
20100323	5535
20100324	5292
20100325	5685
20100326	4673
20100327	142
20100328	274
20100329	5949
20100330	5586
20100331	5335
20100401	5353
20100402	28
20100403	37
20100404	18
20100405	26
20100406	4501
20100407	5671
20100408	4731
20100409	4511
20100410	123
20100411	41
20100412	5450
20100413	6017
20100414	4356
20100415	5198
20100416	4899
20100417	97
20100418	29
20100419	5492
20100420	5286
20100421	5232
20100422	5321
20100423	5009
20100424	77
20100425	35
20100426	5834
20100427	4619
20100428	5042
20100429	4695
20100430	4837
20100501	205
20100502	35
20100503	74
20100504	5419
20100505	5847
20100506	6758
20100507	4878
20100508	116
20100509	42
20100510	5530
20100511	5159
20100512	5079
20100513	5925
20100514	4821
20100515	87
20100516	31
20100517	7097
20100518	5374
20100519	4428
20100520	4454
20100521	4727
20100522	108
20100523	61
20100524	5727
20100525	5445
20100526	5223
20100527	4410
20100528	4133
20100529	39
20100530	143
20100531	25
20100601	5443
20100602	4409
20100603	5802
20100604	3869
20100605	122
20100606	49
20100607	5240
20100608	5023
20100609	5041
20100610	5304
20100611	4638
20100612	123
20100613	37
20100614	5334
20100615	5032
20100616	4655
20100617	5114
20100618	4185
20100619	102
20100620	39
20100621	5632
20100622	5219
20100623	4882
20100624	4891
20100625	4519
20100626	85
20100627	20
20100628	6010
20100629	5100
20100630	5132
20100701	5880
20100702	4348
20100703	188
20100704	36
20100705	5868
20100706	5897
20100707	5608
20100708	4772
20100709	4906
20100710	69
20100711	27
20100712	5735
20100713	4582
20100714	4861
20100715	3749
20100716	4311
20100717	60
20100718	43
20100719	5508
20100720	5289
20100721	5174
20100722	5062
20100723	4545
20100724	75
20100725	61
20100726	6375
20100727	5042
20100728	4609
20100729	4897
20100730	4241
20100731	159
20100801	116
20100802	5440
20100803	4356
20100804	4258
20100805	4624
20100806	3845
20100807	133
20100808	62
20100809	5541
20100810	4718
20100811	4340
20100812	4844
20100813	4287
20100814	132
20100815	154
20100816	5556
20100817	4944
20100818	4473
20100819	5495
20100820	6844
20100821	65
20100822	16
20100823	5674
20100824	5147
20100825	4192
20100826	5042
20100827	3881
20100828	70
20100829	41
20100830	63
20100831	4965
20100901	6292
20100902	5132
20100903	4721
20100904	131
20100905	47
20100906	6572
20100907	5863
20100908	4806
20100909	5643
20100910	4530
20100911	193
20100912	177
20100913	6318
20100914	6885
20100915	5167
20100916	5476
20100917	4677
20100918	181
20100919	80
20100920	6315
20100921	6111
20100922	4488
20100923	5216
20100924	4822
20100925	75
20100926	47
20100927	5861
20100928	5696
20100929	5258
20100930	5242
20101001	4699
20101002	199
20101003	187
20101004	5411
20101005	5293
20101006	4560
20101007	5470
20101008	4307
20101009	524
20101010	62
20101011	6246
20101012	5521
20101013	5178
20101014	6220
20101015	5736
20101016	450
20101017	39
20101018	6280
20101019	5656
20101020	4668
20101021	5543
20101022	4872
20101023	353
20101024	90
20101025	5862
20101026	5610
20101027	4783
20101028	5371
20101029	3974
20101030	227
20101031	58
20101101	5819
20101102	6025
20101103	4489
20101104	5010
20101105	4639
20101106	159
20101107	54
20101108	6443
20101109	5641
20101110	4641
20101111	5156
20101112	4805
20101113	218
20101114	161
20101115	5515
20101116	6021
20101117	4208
20101118	4862
20101119	5110
20101120	164
20101121	266
20101122	7298
20101123	5850
20101124	4687
20101125	4198
20101126	4317
20101127	114
20101128	52
20101129	5543
20101130	5423
20101201	3513
