20100102	826
20100103	739
20100104	34230
20100105	13482
20100106	18556
20100107	25046
20100108	26135
20100109	1709
20100110	750
20100111	38077
20100112	36947
20100113	34141
20100114	32645
20100115	30515
20100116	1353
20100117	657
20100118	40924
20100119	37692
20100120	36253
20100121	30167
20100122	33105
20100123	1761
20100124	723
20100125	40755
20100126	37584
20100127	33463
20100128	31819
20100129	30980
20100130	2112
20100131	870
20100201	40141
20100202	38066
20100203	32979
20100204	34074
20100205	32529
20100206	1307
20100207	767
20100208	40681
20100209	39562
20100210	34842
20100211	35816
20100212	31966
20100213	1655
20100214	796
20100215	37637
20100216	36555
20100217	33478
20100218	31036
20100219	28249
20100220	1915
20100221	735
20100222	37664
20100223	36938
20100224	33269
20100225	34334
20100226	32173
20100227	1715
20100228	847
20100301	40555
20100302	39082
20100303	33234
20100304	34696
20100305	31590
20100306	1585
20100307	931
20100308	39048
20100309	36535
20100310	35510
20100311	35160
20100312	30531
20100313	1370
20100314	710
20100315	39507
20100316	37826
20100317	35616
20100318	34560
20100319	31430
20100320	1715
20100321	636
20100322	40391
20100323	37986
20100324	34447
20100325	35394
20100326	31589
20100327	1428
20100328	1461
20100329	40269
20100330	40770
20100331	37621
20100401	31777
20100402	1860
20100403	895
20100404	814
20100405	1612
20100406	38774
20100407	35428
20100408	32372
20100409	29261
20100410	1471
20100411	738
20100412	38368
20100413	37136
20100414	34282
20100415	32474
20100416	34209
20100417	1443
20100418	766
20100419	39293
20100420	37243
20100421	36843
20100422	34130
20100423	33023
20100424	1345
20100425	962
20100426	41507
20100427	36157
20100428	34415
20100429	33268
20100430	32347
20100501	1395
20100502	685
20100503	1679
20100504	42309
20100505	36040
20100506	34909
20100507	31695
20100508	1316
20100509	705
20100510	39968
20100511	38198
20100512	35172
20100513	34478
20100514	32542
20100515	1317
20100516	696
20100517	40509
20100518	37397
20100519	34511
20100520	31501
20100521	30967
20100522	1305
20100523	834
20100524	39842
20100525	36995
20100526	34283
20100527	32690
20100528	30899
20100529	1216
20100530	655
20100531	1714
20100601	37140
20100602	35573
20100603	33989
20100604	31100
20100605	1436
20100606	766
20100607	37280
20100608	35311
20100609	34783
20100610	32237
20100611	30290
20100612	1361
20100613	706
20100614	36801
20100615	36222
20100616	34932
20100617	33771
20100618	30811
20100619	1354
20100620	681
20100621	38313
20100622	35760
20100623	33300
20100624	33220
20100625	29963
20100626	1560
20100627	666
20100628	39061
20100629	34753
20100630	33782
20100701	35040
20100702	31145
20100703	1389
20100704	737
20100705	38942
20100706	36008
20100707	33691
20100708	33588
20100709	32604
20100710	1086
20100711	661
20100712	39249
20100713	35235
20100714	34789
20100715	29915
20100716	31472
20100717	1172
20100718	823
20100719	39495
20100720	34828
20100721	33951
20100722	34005
20100723	31321
20100724	1269
20100725	807
20100726	38755
20100727	34949
20100728	35361
