Date,IncidenceOfDiabetes,PrevalenceOfDiabetes
2010-10-12,2,14
2010-10-13,0,13
2010-10-14,3,15
2010-10-15,0,10
2010-10-16,0,6
2010-10-17,0,1
2010-10-18,1,19
2010-10-19,0,13
2010-10-20,2,18
2010-10-21,2,13
2010-10-22,4,20
2010-10-23,0,0
2010-10-24,0,0
2010-10-25,2,28
2010-10-26,2,15
2010-10-27,0,15
2010-10-28,2,10
2010-10-29,0,12
2010-10-30,0,2
2010-10-31,1,2
2010-11-01,4,34
2010-11-02,3,17
2010-11-03,3,25
2010-11-04,1,9
2010-11-05,3,14
2010-11-06,0,0
2010-11-07,0,0
2010-11-08,4,17
2010-11-09,1,16
2010-11-10,6,24
2010-11-11,4,11
2010-11-12,1,25
2010-11-13,0,8
2010-11-14,0,0
2010-11-15,1,17
2010-11-16,2,34
2010-11-17,0,13
2010-11-18,6,20
2010-11-19,0,12
2010-11-20,0,0
2010-11-21,0,0
2010-11-22,6,18
2010-11-23,4,23
2010-11-24,4,9
2010-11-25,2,22
2010-11-26,3,17
2010-11-27,0,0
2010-11-28,0,0
2010-11-29,4,27
2010-11-30,2,13
2010-12-01,3,25
2010-12-02,1,19
2010-12-03,2,13
2010-12-04,0,1
2010-12-05,0,0
2010-12-06,3,23
2010-12-07,2,18
2010-12-08,1,10
2010-12-09,2,21
2010-12-10,0,19
2010-12-11,0,0
2010-12-12,1,1
2010-12-13,3,21
2010-12-14,1,18
2010-12-15,7,31
2010-12-16,5,24
2010-12-17,3,24
2010-12-18,0,7
2010-12-19,0,0
2010-12-20,2,21
2010-12-21,0,15
2010-12-22,3,14
2010-12-23,3,13
2010-12-24,2,8
2010-12-25,0,0
2010-12-26,0,0
2010-12-27,0,0
2010-12-28,0,0
2010-12-29,2,14
2010-12-30,7,11
2010-12-31,1,4
2011-01-01,20,34
2011-01-02,0,0
2011-01-03,1,1
2011-01-04,2,15
2011-01-05,3,22
2011-01-06,3,21
2011-01-07,3,15
2011-01-08,0,0
2011-01-09,0,0
2011-01-10,5,19
2011-01-11,5,30
2011-01-12,3,17
2011-01-13,2,18
2011-01-14,6,12
2011-01-15,0,0
2011-01-16,0,0
2011-01-17,3,35
2011-01-18,7,22
2011-01-19,2,20
2011-01-20,10,33
2011-01-21,2,14
2011-01-22,0,0
2011-01-23,0,0
2011-01-24,6,34
2011-01-25,2,24
2011-01-26,2,13
2011-01-27,6,18
2011-01-28,2,24
2011-01-29,1,1
2011-01-30,0,0
2011-01-31,5,24
2011-02-01,0,10
2011-02-02,2,9
2011-02-03,6,26
2011-02-04,5,24
2011-02-05,1,4
2011-02-06,0,0
2011-02-07,1,18
2011-02-08,4,25
2011-02-09,3,28
2011-02-10,4,23
2011-02-11,3,15
2011-02-12,0,0
2011-02-13,0,0
2011-02-14,6,24
2011-02-15,5,19
2011-02-16,3,20
2011-02-17,2,23
2011-02-18,3,12
2011-02-19,1,7
2011-02-20,0,0
2011-02-21,0,12
2011-02-22,3,21
2011-02-23,2,19
2011-02-24,4,19
2011-02-25,4,15
2011-02-26,0,0
2011-02-27,0,0
2011-02-28,3,27
2011-03-01,2,26
2011-03-02,4,28
2011-03-03,1,17
2011-03-04,1,16
2011-03-05,0,0
2011-03-06,0,0
2011-03-07,5,30
2011-03-08,0,17
2011-03-09,2,23
2011-03-10,5,22
2011-03-11,3,19
2011-03-12,0,0
2011-03-13,0,0
2011-03-14,3,34
2011-03-15,2,26
2011-03-16,2,25
2011-03-17,2,12
2011-03-18,2,9
2011-03-19,0,0
2011-03-20,0,1
2011-03-21,3,15
2011-03-22,3,23
2011-03-23,3,18
2011-03-24,0,29
2011-03-25,2,21
2011-03-26,1,2
2011-03-27,0,0
2011-03-28,3,39
2011-03-29,1,15
2011-03-30,4,26
2011-03-31,4,18
2011-04-01,3,10
2011-04-02,0,0
2011-04-03,0,0
2011-04-04,3,34
2011-04-05,0,26
2011-04-06,5,19
2011-04-07,7,25
2011-04-08,3,24
2011-04-09,0,1
2011-04-10,0,0
2011-04-11,6,31
2011-04-12,2,19
2011-04-13,3,22
2011-04-14,6,25
2011-04-15,1,13
2011-04-16,0,7
2011-04-17,0,0
2011-04-18,0,24
2011-04-19,2,31
2011-04-20,0,19
2011-04-21,4,17
2011-04-22,0,0
2011-04-23,0,0
2011-04-24,0,1
2011-04-25,0,1
2011-04-26,4,20
2011-04-27,5,19
2011-04-28,3,13
2011-04-29,0,0
2011-04-30,0,0
2011-05-01,2,2
2011-05-02,0,2
2011-05-03,5,32
2011-05-04,1,17
2011-05-05,2,22
2011-05-06,5,14
