Date,IncidenceOfAntidepressants,PrevalenceOfAntidepressants
2015-10-13,15,980
2015-10-14,13,801
2015-10-15,17,842
2015-10-16,12,779
2015-10-17,0,19
2015-10-18,0,20
2015-10-19,27,1073
2015-10-20,14,922
2015-10-21,15,852
2015-10-22,9,752
2015-10-23,13,737
2015-10-24,1,12
2015-10-25,0,19
2015-10-26,13,1131
2015-10-27,20,851
2015-10-28,12,801
2015-10-29,13,761
2015-10-30,11,814
2015-10-31,1,7
2015-11-01,0,20
2015-11-02,21,1160
2015-11-03,11,915
2015-11-04,17,804
2015-11-05,20,807
2015-11-06,22,811
2015-11-07,1,17
2015-11-08,0,13
2015-11-09,20,1088
2015-11-10,15,852
2015-11-11,12,834
2015-11-12,14,868
2015-11-13,14,776
2015-11-14,0,16
2015-11-15,0,9
2015-11-16,13,1124
2015-11-17,9,1017
2015-11-18,25,844
2015-11-19,15,782
2015-11-20,13,764
2015-11-21,1,22
2015-11-22,0,12
2015-11-23,20,1176
2015-11-24,22,924
2015-11-25,13,772
2015-11-26,11,807
2015-11-27,15,755
2015-11-28,1,21
2015-11-29,0,11
2015-11-30,15,1149
2015-12-01,17,947
2015-12-02,11,802
2015-12-03,13,806
2015-12-04,16,774
2015-12-05,0,15
2015-12-06,0,12
2015-12-07,19,1144
2015-12-08,21,1033
2015-12-09,13,821
2015-12-10,14,865
2015-12-11,15,857
2015-12-12,0,19
2015-12-13,0,13
2015-12-14,17,1340
2015-12-15,11,1052
2015-12-16,18,950
2015-12-17,18,964
2015-12-18,9,928
2015-12-19,0,19
2015-12-20,0,15
2015-12-21,20,1366
2015-12-22,19,1036
2015-12-23,6,711
2015-12-24,4,563
2015-12-25,0,174
2015-12-26,0,4
2015-12-27,0,12
2015-12-28,0,342
2015-12-29,13,915
2015-12-30,11,737
2015-12-31,5,642
2016-01-01,0,143
2016-01-02,0,4
2016-01-03,1,12
2016-01-04,13,1212
2016-01-05,22,1068
2016-01-06,12,925
2016-01-07,14,920
2016-01-08,22,799
2016-01-09,4,26
2016-01-10,0,11
2016-01-11,24,1164
2016-01-12,14,1114
2016-01-13,15,910
2016-01-14,18,832
2016-01-15,19,701
2016-01-16,1,14
2016-01-17,0,18
2016-01-18,19,1166
2016-01-19,15,1010
2016-01-20,13,789
2016-01-21,14,757
2016-01-22,10,669
2016-01-23,2,13
2016-01-24,0,10
2016-01-25,15,1054
2016-01-26,15,989
2016-01-27,9,798
2016-01-28,11,756
2016-01-29,16,691
2016-01-30,0,10
2016-01-31,0,9
2016-02-01,20,1120
2016-02-02,16,991
2016-02-03,16,788
2016-02-04,15,770
2016-02-05,16,759
2016-02-06,0,10
2016-02-07,0,10
2016-02-08,14,1142
2016-02-09,9,984
2016-02-10,10,774
2016-02-11,20,794
2016-02-12,11,767
2016-02-13,1,20
2016-02-14,0,12
2016-02-15,17,1047
2016-02-16,12,937
2016-02-17,11,794
2016-02-18,9,796
2016-02-19,13,694
2016-02-20,1,24
2016-02-21,0,11
2016-02-22,20,1001
2016-02-23,15,860
2016-02-24,21,787
2016-02-25,6,780
2016-02-26,12,728
2016-02-27,1,17
2016-02-28,1,13
2016-02-29,11,1100
2016-03-01,12,986
2016-03-02,13,857
2016-03-03,17,863
2016-03-04,14,793
2016-03-05,1,22
2016-03-06,0,12
2016-03-07,20,1080
2016-03-08,9,899
2016-03-09,11,801
2016-03-10,19,850
2016-03-11,20,760
2016-03-12,1,10
2016-03-13,0,9
2016-03-14,17,1109
2016-03-15,19,940
2016-03-16,3,794
2016-03-17,16,812
2016-03-18,12,744
2016-03-19,2,26
2016-03-20,0,9
2016-03-21,14,1140
2016-03-22,17,980
2016-03-23,12,861
2016-03-24,13,932
2016-03-25,0,174
2016-03-26,0,9
2016-03-27,0,10
2016-03-28,0,315
2016-03-29,9,1208
2016-03-30,15,1022
2016-03-31,8,962
2016-04-01,15,757
2016-04-02,0,12
2016-04-03,0,7
2016-04-04,14,1136
2016-04-05,15,968
2016-04-06,14,911
2016-04-07,8,792
2016-04-08,7,681
2016-04-09,0,9
2016-04-10,0,7
2016-04-11,16,1102
2016-04-12,14,945
2016-04-13,10,839
2016-04-14,17,806
2016-04-15,13,665
2016-04-16,0,20
2016-04-17,0,16
2016-04-18,8,1027
2016-04-19,13,959
2016-04-20,11,838
2016-04-21,17,785
2016-04-22,9,672
2016-04-23,0,17
2016-04-24,0,10
2016-04-25,13,1184
2016-04-26,14,990
2016-04-27,5,879
2016-04-28,16,820
2016-04-29,12,752
2016-04-30,2,13
2016-05-01,0,7
2016-05-02,0,321
2016-05-03,22,1163
2016-05-04,10,1026
2016-05-05,10,896
2016-05-06,11,740
2016-05-07,0,14
2016-05-08,0,7
2016-05-09,17,1094
2016-05-10,11,970
2016-05-11,11,782
2016-05-12,13,734
2016-05-13,23,777
2016-05-14,0,13
2016-05-15,0,6
2016-05-16,26,1037
2016-05-17,13,1002
2016-05-18,12,832
2016-05-19,12,832
2016-05-20,15,793
2016-05-21,0,15
2016-05-22,0,6
2016-05-23,14,1063
2016-05-24,24,1017
2016-05-25,9,819
2016-05-26,15,877
2016-05-27,12,773
2016-05-28,0,11
2016-05-29,0,7
2016-05-30,0,307
2016-05-31,10,1120
2016-06-01,13,913
2016-06-02,12,876
2016-06-03,9,859
2016-06-04,0,6
2016-06-05,0,6
2016-06-06,15,1013
2016-06-07,13,1026
2016-06-08,14,836
2016-06-09,10,771
2016-06-10,14,806
2016-06-11,0,8
2016-06-12,0,5
2016-06-13,9,956
2016-06-14,11,961
2016-06-15,11,852
2016-06-16,15,778
2016-06-17,11,798
2016-06-18,0,6
2016-06-19,0,2
2016-06-20,8,1021
2016-06-21,17,1049
2016-06-22,13,758
2016-06-23,14,796
2016-06-24,8,735
2016-06-25,0,6
2016-06-26,0,3
2016-06-27,13,1047
2016-06-28,17,984
2016-06-29,12,847
2016-06-30,14,812
2016-07-01,10,733
2016-07-02,1,5
2016-07-03,0,6
2016-07-04,11,1099
2016-07-05,12,939
2016-07-06,9,859
2016-07-07,15,816
2016-07-08,7,787
2016-07-09,0,12
2016-07-10,0,9
2016-07-11,13,1036
2016-07-12,27,944
2016-07-13,15,839
2016-07-14,12,738
2016-07-15,11,797
2016-07-16,1,7
2016-07-17,0,6
2016-07-18,21,1077
2016-07-19,10,861
2016-07-20,10,804
2016-07-21,11,783
2016-07-22,7,773
2016-07-23,0,11
2016-07-24,0,8
2016-07-25,15,1100
2016-07-26,20,947
2016-07-27,9,841
2016-07-28,11,754
2016-07-29,14,859
2016-07-30,0,7
2016-07-31,0,7
2016-08-01,9,1050
2016-08-02,18,930
2016-08-03,18,809
2016-08-04,16,823
2016-08-05,12,808
2016-08-06,0,8
2016-08-07,0,3
2016-08-08,10,981
2016-08-09,12,919
2016-08-10,12,803
2016-08-11,14,797
2016-08-12,14,844
2016-08-13,2,9
2016-08-14,1,4
2016-08-15,17,1051
2016-08-16,16,892
2016-08-17,12,819
2016-08-18,13,777
2016-08-19,8,823
2016-08-20,0,9
2016-08-21,0,7
2016-08-22,13,1171
2016-08-23,10,1003
2016-08-24,15,856
2016-08-25,8,829
2016-08-26,13,842
2016-08-27,0,7
2016-08-28,0,4
2016-08-29,0,299
2016-08-30,15,1143
2016-08-31,12,930
2016-09-01,8,859
2016-09-02,10,873
2016-09-03,0,20
2016-09-04,0,4
2016-09-05,13,1090
2016-09-06,6,963
2016-09-07,22,863
2016-09-08,14,820
2016-09-09,14,786
2016-09-10,0,18
2016-09-11,0,5
2016-09-12,19,1047
2016-09-13,16,1027
2016-09-14,13,784
2016-09-15,17,821
2016-09-16,14,804
2016-09-17,0,14
2016-09-18,0,4
2016-09-19,18,1085
2016-09-20,18,967
2016-09-21,10,871
2016-09-22,15,839
2016-09-23,9,814
2016-09-24,0,36
2016-09-25,0,6
2016-09-26,19,1118
2016-09-27,17,908
2016-09-28,8,814
2016-09-29,10,816
2016-09-30,12,776
2016-10-01,2,25
2016-10-02,0,3
2016-10-03,16,1089
2016-10-04,7,957
2016-10-05,11,869
2016-10-06,10,866
2016-10-07,18,804
2016-10-08,2,19
2016-10-09,0,5
2016-10-10,16,1085
2016-10-11,12,960
2016-10-12,11,844
2016-10-13,12,839
2016-10-14,10,788
2016-10-15,0,22
2016-10-16,0,9
2016-10-17,12,1102
2016-10-18,26,1002
2016-10-19,16,923
2016-10-20,20,913
2016-10-21,10,811
2016-10-22,0,17
2016-10-23,0,4
2016-10-24,19,1125
2016-10-25,15,863
2016-10-26,14,805
2016-10-27,12,797
2016-10-28,8,794
2016-10-29,0,20
2016-10-30,0,6
2016-10-31,20,1049
2016-11-01,12,916
2016-11-02,8,879
2016-11-03,24,906
2016-11-04,13,840
2016-11-05,0,26
2016-11-06,0,8
2016-11-07,15,1062
2016-11-08,18,961
2016-11-09,14,848
2016-11-10,14,800
2016-11-11,15,843
2016-11-12,0,39
2016-11-13,0,4
2016-11-14,11,1091
2016-11-15,21,1008
2016-11-16,9,814
2016-11-17,17,869
2016-11-18,6,861
2016-11-19,0,20
2016-11-20,0,5
2016-11-21,14,1030
2016-11-22,6,919
2016-11-23,18,888
2016-11-24,17,909
2016-11-25,12,900
2016-11-26,0,22
2016-11-27,0,8
2016-11-28,18,1156
2016-11-29,10,953
2016-11-30,13,902
2016-12-01,13,862
2016-12-02,17,910
2016-12-03,3,26
2016-12-04,0,44
2016-12-05,16,1137
2016-12-06,16,1045
2016-12-07,8,950
2016-12-08,16,871
2016-12-09,13,917
2016-12-10,0,32
2016-12-11,0,29
2016-12-12,13,1156
2016-12-13,16,1084
2016-12-14,17,960
2016-12-15,22,994
2016-12-16,14,982
2016-12-17,1,34
2016-12-18,0,33
2016-12-19,23,1327
2016-12-20,11,1229
2016-12-21,13,1078
2016-12-22,17,845
2016-12-23,11,799
2016-12-24,0,11
2016-12-25,0,19
2016-12-26,0,236
2016-12-27,0,237
2016-12-28,12,896
2016-12-29,8,831
2016-12-30,9,826
2016-12-31,0,27
2017-01-01,0,4
2017-01-02,0,190
2017-01-03,12,1160
2017-01-04,8,1005
2017-01-05,20,979
2017-01-06,14,958
2017-01-07,3,30
2017-01-08,0,11
2017-01-09,16,1013
2017-01-10,15,1040
2017-01-11,7,945
2017-01-12,11,913
2017-01-13,15,993
2017-01-14,3,44
2017-01-15,0,8
2017-01-16,19,1045
2017-01-17,14,928
2017-01-18,11,920
2017-01-19,15,913
2017-01-20,17,912
2017-01-21,1,35
2017-01-22,0,9
2017-01-23,19,1065
2017-01-24,10,880
2017-01-25,16,803
2017-01-26,13,840
2017-01-27,14,860
2017-01-28,0,41
2017-01-29,0,6
2017-01-30,18,1023
2017-01-31,16,1025
2017-02-01,14,844
2017-02-02,12,865
2017-02-03,18,849
2017-02-04,0,31
2017-02-05,0,9
2017-02-06,12,1133
2017-02-07,22,969
2017-02-08,20,957
2017-02-09,20,899
2017-02-10,21,914
2017-02-11,1,39
2017-02-12,0,11
2017-02-13,12,1070
2017-02-14,17,914
2017-02-15,5,886
